customerID,InternetService,Churn,tenure,MonthlyCharges,TotalCharges
7590-VHVEG,DSL,No,1,29.85,29.85
5575-GNVDE,DSL,No,34,56.95,1889.5
3668-QPYBK,DSL,Yes,2,53.85,108.15
7795-CFOCW,DSL,No,45,42.3,1840.75
9237-HQITU,Fiber optic,Yes,2,70.7,151.65
9305-CDSKC,Fiber optic,Yes,8,99.65,820.5
1452-KIOVK,Fiber optic,No,22,89.1,1949.4
6713-OKOMC,DSL,No,10,29.75,301.9
7892-POOKP,Fiber optic,Yes,28,104.8,3046.05
6388-TABGU,DSL,No,62,56.15,3487.95
9763-GRSKD,DSL,No,13,49.95,587.45
7469-LKBCI,No,No,16,18.95,326.8
8091-TTVAX,Fiber optic,No,58,100.35,5681.1
0280-XJGEX,Fiber optic,Yes,49,103.7,5036.3
5129-JLPIS,Fiber optic,No,25,105.5,2686.05
3655-SNQYZ,Fiber optic,No,69,113.25,7895.15
8191-XWSZG,No,No,52,20.65,1022.95
9959-WOFKT,Fiber optic,No,71,106.7,7382.25
4190-MFLUW,DSL,Yes,10,55.2,528.35
4183-MYFRB,Fiber optic,No,21,90.05,1862.9
8779-QRDMV,DSL,Yes,1,39.65,39.65
1680-VDCWW,No,No,12,19.8,202.25
1066-JKSGK,No,Yes,1,20.15,20.15
3638-WEABW,DSL,No,58,59.9,3505.1
6322-HRPFA,DSL,No,49,59.6,2970.3
6865-JZNKO,DSL,No,30,55.3,1530.6
6467-CHFZW,Fiber optic,Yes,47,99.35,4749.15
8665-UTDHZ,DSL,Yes,1,30.2,30.2
5248-YGIJN,DSL,No,72,90.25,6369.45
8773-HHUOZ,DSL,Yes,17,64.7,1093.1
3841-NFECX,Fiber optic,No,71,96.35,6766.95
4929-XIHVW,Fiber optic,No,2,95.5,181.65
6827-IEAUQ,DSL,No,27,66.15,1874.45
7310-EGVHZ,No,No,1,20.2,20.2
3413-BMNZE,DSL,No,1,45.25,45.25
6234-RAAPL,Fiber optic,No,72,99.9,7251.7
6047-YHPVI,Fiber optic,Yes,5,69.7,316.9
6572-ADKRS,Fiber optic,No,46,74.8,3548.3
5380-WJKOV,Fiber optic,Yes,34,106.35,3549.25
8168-UQWWF,Fiber optic,Yes,11,97.85,1105.4
8865-TNMNX,DSL,No,10,49.55,475.7
9489-DEDVP,DSL,No,70,69.2,4872.35
9867-JCZSP,No,No,17,20.75,418.25
4671-VJLCL,DSL,No,63,79.85,4861.45
4080-IIARD,DSL,No,13,76.2,981.45
3714-NTNFO,Fiber optic,No,49,84.5,3906.7
5948-UJZLF,DSL,No,2,49.25,97.0
7760-OYPDY,Fiber optic,Yes,2,80.65,144.15
7639-LIAYI,DSL,No,52,79.75,4217.8
2954-PIBKO,DSL,No,69,64.15,4254.1
8012-SOUDQ,Fiber optic,No,43,90.25,3838.75
9420-LOJKX,Fiber optic,Yes,15,99.1,1426.4
6575-SUVOI,DSL,No,25,69.5,1752.65
7495-OOKFY,Fiber optic,Yes,8,80.65,633.3
4667-QONEA,DSL,No,60,74.85,4456.35
1658-BYGOY,Fiber optic,Yes,18,95.45,1752.55
8769-KKTPH,Fiber optic,No,63,99.65,6311.2
5067-XJQFU,Fiber optic,No,66,108.45,7076.35
3957-SQXML,No,No,34,24.95,894.3
5954-BDFSG,Fiber optic,No,72,107.5,7853.7
0434-CSFON,Fiber optic,No,47,100.5,4707.1
1215-FIGMP,Fiber optic,No,60,89.9,5450.7
0526-SXDJP,DSL,No,72,42.1,2962.0
0557-ASKVU,DSL,No,18,54.4,957.1
5698-BQJOH,Fiber optic,Yes,9,94.4,857.25
5122-CYFXA,DSL,No,3,75.3,244.1
8627-ZYGSZ,Fiber optic,No,47,78.9,3650.35
3410-YOQBQ,DSL,No,31,79.2,2497.2
3170-NMYVV,No,No,50,20.15,930.9
7410-OIEDU,Fiber optic,No,10,79.85,887.35
2273-QCKXA,DSL,No,1,49.05,49.05
0731-EBJQB,No,No,52,20.4,1090.65
1891-QRQSA,Fiber optic,No,64,111.6,7099.0
8028-PNXHQ,No,No,62,24.25,1424.6
5630-AHZIL,DSL,No,3,64.5,177.4
2673-CXQEU,Fiber optic,No,56,110.5,6139.5
6416-JNVRK,DSL,No,46,55.65,2688.85
5590-ZSKRV,DSL,No,8,54.65,482.25
0191-ZHSKZ,DSL,No,30,74.75,2111.3
3887-PBQAO,No,No,45,25.9,1216.6
5919-TMRGD,Fiber optic,Yes,1,79.35,79.35
8108-UXRQN,DSL,No,11,50.55,565.35
9191-MYQKX,Fiber optic,Yes,7,75.15,496.9
9919-YLNNG,Fiber optic,No,42,103.8,4327.5
0318-ZOPWS,No,No,49,20.15,973.35
4445-ZJNMU,Fiber optic,No,9,99.3,918.75
4808-YNLEU,DSL,No,35,62.15,2215.45
1862-QRWPE,No,No,48,20.65,1057.0
2796-NNUFI,No,No,46,19.95,927.1
3016-KSVCP,DSL,No,29,33.75,1009.25
4767-HZZHQ,Fiber optic,No,30,82.05,2570.2
2424-WVHPL,Fiber optic,No,1,74.7,74.7
7233-PAHHL,DSL,No,66,84.0,5714.25
6067-NGCEU,Fiber optic,No,65,111.05,7107.0
9848-JQJTX,Fiber optic,No,72,100.9,7459.05
8637-XJIVR,Fiber optic,Yes,12,78.95,927.35
9803-FTJCG,DSL,No,71,66.85,4748.7
0278-YXOOG,No,Yes,5,21.05,113.85
3212-KXOCR,No,No,52,21.0,1107.2
4598-XLKNJ,Fiber optic,Yes,25,98.5,2514.5
6380-ARCEH,No,No,1,20.2,20.2
3679-XASPY,No,No,1,19.45,19.45
7123-WQUHX,Fiber optic,No,38,95.0,3605.6
5386-THSLQ,DSL,No,66,45.55,3027.25
3192-NQECA,Fiber optic,Yes,68,110.0,7611.85
6180-YBIQI,DSL,No,5,24.3,100.2
6728-DKUCO,Fiber optic,No,72,104.15,7303.05
9750-BOOHV,DSL,No,32,30.15,927.65
8597-CWYHH,Fiber optic,No,43,94.35,3921.3
2848-YXSMW,No,No,72,19.4,1363.25
0486-HECZI,Fiber optic,Yes,55,96.75,5238.9
4549-ZDQYY,DSL,No,52,57.95,3042.25
5712-AHQNN,Fiber optic,No,43,91.65,3954.1
4846-WHAFZ,Fiber optic,Yes,37,76.5,2868.15
5256-SKJGO,DSL,No,64,54.6,3423.5
3071-VBYPO,Fiber optic,No,3,89.85,248.4
9560-BBZXK,DSL,No,36,31.05,1126.35
5299-RULOA,Fiber optic,Yes,10,100.25,1064.65
8402-OOOHJ,No,No,41,20.65,835.15
9445-ZUEQE,Fiber optic,No,27,85.2,2151.6
1091-SOZGA,Fiber optic,No,56,99.8,5515.45
2928-HLDBA,No,No,6,20.7,112.75
0404-SWRVG,Fiber optic,Yes,3,74.4,229.55
6497-TILVL,DSL,No,7,50.7,350.35
7219-TLZHO,No,No,4,20.85,62.9
4622-YNKIJ,Fiber optic,No,33,88.95,3027.65
4412-YLTKF,Fiber optic,Yes,27,78.05,2135.5
6734-PSBAW,No,No,72,23.55,1723.95
3930-ZGWVE,No,No,1,19.75,19.75
2639-UGMAZ,DSL,No,71,56.45,3985.35
2876-GZYZC,Fiber optic,No,13,85.95,1215.65
6207-WIOLX,DSL,Yes,25,58.6,1502.65
8587-XYZSF,DSL,No,67,50.55,3260.1
3091-FYHKI,DSL,Yes,1,35.45,35.45
2372-HWUHI,DSL,Yes,2,44.35,81.25
7799-LGRDP,No,No,43,25.7,1188.2
7850-VWJUU,Fiber optic,No,23,75.0,1778.5
3774-VBNXY,No,No,64,20.2,1277.75
6217-KDYWC,No,No,57,19.6,1170.55
0390-DCFDQ,Fiber optic,Yes,1,70.45,70.45
3146-MSEGF,DSL,No,72,88.05,6425.65
4080-OGPJL,DSL,Yes,8,71.15,563.65
1095-WGNGG,Fiber optic,No,61,101.05,5971.25
2636-SJDOU,Fiber optic,No,64,84.3,5289.05
1131-QQZEB,No,No,71,23.95,1756.2
5716-EZXZN,Fiber optic,No,65,99.05,6416.7
6837-BJYDQ,No,No,3,19.6,61.35
2135-RXIHG,DSL,Yes,1,45.65,45.65
6440-DKQGE,DSL,No,30,64.5,1929.95
3466-BYAVD,DSL,No,15,69.5,1071.4
3780-YVMFA,DSL,No,8,68.55,564.35
3874-EQOEP,Fiber optic,Yes,7,95.0,655.5
1679-JRFBR,Fiber optic,No,70,108.15,7930.55
9073-ZZIAY,DSL,No,62,86.1,5215.25
3077-RSNTJ,No,No,6,19.7,113.5
6551-GNYDG,Fiber optic,No,14,80.9,1152.8
9167-APMXZ,Fiber optic,No,22,84.15,1821.95
2749-CTKAJ,No,No,22,20.15,419.9
6371-NZYEG,DSL,No,16,64.25,1024.0
7554-NEWDD,No,No,10,25.7,251.6
8992-VONJD,DSL,No,13,56.0,764.55
0867-MKZVY,Fiber optic,Yes,20,82.4,1592.35
4482-EWFMI,Fiber optic,No,2,69.7,135.2
4648-YPBTM,DSL,No,53,73.9,3958.25
2907-ILJBN,No,No,11,20.6,233.9
6345-FZOQH,No,No,69,19.9,1363.45
3376-BMGFE,Fiber optic,Yes,4,70.9,273.0
5997-OPVFA,DSL,No,72,89.05,6254.45
3445-HXXGF,DSL,Yes,58,45.3,2651.2
1159-WFSGR,No,No,16,20.4,321.4
7654-YWJUF,Fiber optic,No,43,84.25,3539.25
1875-QIVME,Fiber optic,Yes,2,104.4,242.8
6727-IOTLZ,DSL,No,14,81.95,1181.75
0691-JVSYA,Fiber optic,Yes,53,94.85,5000.2
5918-VUKWP,No,No,32,20.55,654.55
1744-JHKYS,No,No,34,24.7,780.2
2656-FMOKZ,Fiber optic,Yes,15,74.45,1145.7
2070-FNEXE,Fiber optic,Yes,7,76.45,503.6
5947-SGKCL,Fiber optic,No,15,105.35,1559.25
3712-PKXZA,No,No,61,20.55,1252.0
6317-YPKDH,DSL,Yes,1,29.95,29.95
6582-OIVSP,DSL,No,1,45.3,45.3
9367-WXLCH,Fiber optic,Yes,8,84.5,662.65
5524-KHNJP,DSL,No,33,74.75,2453.3
1918-ZBFQJ,Fiber optic,Yes,13,79.25,1111.65
1024-GUALD,DSL,Yes,1,24.8,24.8
4827-USJHP,DSL,No,20,51.8,1023.85
8167-GJLRN,DSL,No,3,30.4,82.15
0956-SYCWG,No,No,13,19.65,244.8
8017-UVSZU,DSL,No,40,56.6,2379.1
7100-FQPRV,DSL,No,43,71.9,3173.35
2472-OVKUP,Fiber optic,Yes,6,91.0,531.0
2984-RGEYA,No,No,69,19.75,1375.4
9680-NIAUV,Fiber optic,No,72,109.7,8129.3
2146-EGVDT,No,No,59,19.3,1192.7
2604-IJPDU,Fiber optic,No,20,96.55,1901.65
9178-JHUVJ,No,No,24,24.1,587.4
6168-YBYNP,Fiber optic,No,59,111.35,6519.75
7255-SSFBC,Fiber optic,No,72,112.25,8041.65
3645-DEYGF,No,No,1,20.75,20.75
9323-HGFWY,Fiber optic,No,27,101.9,2681.15
8544-GOQSH,Fiber optic,No,14,80.05,1112.3
3363-DTIVD,Fiber optic,No,71,105.55,7405.5
7018-WBJNK,Fiber optic,No,13,78.3,1033.95
9142-KZXOP,Fiber optic,No,44,68.85,2958.95
7674-YTAFD,Fiber optic,No,33,79.95,2684.85
6348-SNFUS,DSL,No,72,55.45,4179.2
1285-OKIPP,Fiber optic,Yes,1,79.9,79.9
7825-ECJRF,Fiber optic,Yes,19,106.6,1934.45
1347-KTTTA,Fiber optic,No,64,102.45,6654.1
7841-TZDMQ,DSL,Yes,2,46.0,84.5
4195-NZGTA,DSL,No,1,25.25,25.25
7157-SMCFK,No,No,61,19.75,1124.2
4709-LKHYG,No,No,29,20.0,540.05
2504-DSHIH,Fiber optic,No,23,86.8,1975.85
0699-NDKJM,DSL,No,57,58.75,3437.45
9286-BHDQG,DSL,No,72,45.25,3139.8
0230-WEQUW,DSL,No,66,56.6,3789.2
2040-LDIWQ,DSL,No,65,84.2,5324.5
6496-JDSSB,Fiber optic,No,8,80.0,624.6
9408-SSNVZ,Fiber optic,Yes,4,70.15,268.35
4443-EMBNA,No,No,71,24.75,1836.9
6469-MRVET,No,No,1,20.2,20.2
0742-MOABM,DSL,Yes,4,50.05,179.35
5961-VUSRV,No,No,12,19.35,219.35
6778-JFCMK,DSL,No,24,50.6,1288.75
6341-JVQGF,DSL,No,31,81.15,2545.75
2232-DMLXU,DSL,Yes,1,55.2,55.2
