Contract,tenure,MonthlyCharges,Churn
Month-to-month,1,29.85,No
One year,34,56.95,No
Month-to-month,2,53.85,Yes
One year,45,42.3,No
Month-to-month,2,70.7,Yes
Month-to-month,8,99.65,Yes
Month-to-month,22,89.1,No
Month-to-month,10,29.75,No
Month-to-month,28,104.8,Yes
One year,62,56.15,No
Month-to-month,13,49.95,No
Two year,16,18.95,No
One year,58,100.35,No
Month-to-month,49,103.7,Yes
Month-to-month,25,105.5,No
Two year,69,113.25,No
One year,52,20.65,No
Two year,71,106.7,No
Month-to-month,10,55.2,Yes
Month-to-month,21,90.05,No
Month-to-month,1,39.65,Yes
One year,12,19.8,No
Month-to-month,1,20.15,Yes
Two year,58,59.9,No
Month-to-month,49,59.6,No
Month-to-month,30,55.3,No
Month-to-month,47,99.35,Yes
Month-to-month,1,30.2,Yes
Two year,72,90.25,No
Month-to-month,17,64.7,Yes
Two year,71,96.35,No
Month-to-month,2,95.5,No
One year,27,66.15,No
Month-to-month,1,20.2,No
Month-to-month,1,45.25,No
Two year,72,99.9,No
Month-to-month,5,69.7,Yes
Month-to-month,46,74.8,No
Month-to-month,34,106.35,Yes
Month-to-month,11,97.85,Yes
One year,10,49.55,No
Two year,70,69.2,No
One year,17,20.75,No
Two year,63,79.85,No
Month-to-month,13,76.2,No
Month-to-month,49,84.5,No
Month-to-month,2,49.25,No
Month-to-month,2,80.65,Yes
Two year,52,79.75,No
Two year,69,64.15,No
Month-to-month,43,90.25,No
Month-to-month,15,99.1,Yes
Month-to-month,25,69.5,No
Month-to-month,8,80.65,Yes
One year,60,74.85,No
Month-to-month,18,95.45,Yes
One year,63,99.65,No
One year,66,108.45,No
Two year,34,24.95,No
Two year,72,107.5,No
Month-to-month,47,100.5,No
Month-to-month,60,89.9,No
Two year,72,42.1,No
One year,18,54.4,No
Month-to-month,9,94.4,Yes
Month-to-month,3,75.3,No
One year,47,78.9,No
Two year,31,79.2,No
Two year,50,20.15,No
Month-to-month,10,79.85,No
Month-to-month,1,49.05,No
One year,52,20.4,No
Two year,64,111.6,No
Two year,62,24.25,No
Month-to-month,3,64.5,No
One year,56,110.5,No
One year,46,55.65,No
Month-to-month,8,54.65,No
Month-to-month,30,74.75,No
One year,45,25.9,No
Month-to-month,1,79.35,Yes
Month-to-month,11,50.55,No
Month-to-month,7,75.15,Yes
Month-to-month,42,103.8,No
Two year,49,20.15,No
Month-to-month,9,99.3,No
One year,35,62.15,No
Two year,48,20.65,No
Two year,46,19.95,No
Month-to-month,29,33.75,No
Month-to-month,30,82.05,No
Month-to-month,1,74.7,No
Two year,66,84.0,No
Month-to-month,65,111.05,No
Two year,72,100.9,No
Month-to-month,12,78.95,Yes
One year,71,66.85,No
Month-to-month,5,21.05,Yes
Two year,52,21.0,No
Month-to-month,25,98.5,Yes
Month-to-month,1,20.2,No
Month-to-month,1,19.45,No
One year,38,95.0,No
One year,66,45.55,No
Two year,68,110.0,Yes
Month-to-month,5,24.3,No
One year,72,104.15,No
One year,32,30.15,No
One year,43,94.35,No
Two year,72,19.4,No
Month-to-month,55,96.75,Yes
One year,52,57.95,No
Month-to-month,43,91.65,No
Month-to-month,37,76.5,Yes
Two year,64,54.6,No
Month-to-month,3,89.85,No
Two year,36,31.05,No
Month-to-month,10,100.25,Yes
Two year,41,20.65,No
Month-to-month,27,85.2,No
One year,56,99.8,No
