customerID,MonthlyCharges,TotalCharges,tenure,Churn,Contract,InternetService,PaymentMethod,PaperlessBilling
7590-VHVEG,29.85,29.85,1,No,Month-to-month,DSL,Electronic check,Yes
5575-GNVDE,56.95,1889.5,34,No,One year,DSL,Mailed check,No
3668-QPYBK,53.85,108.15,2,Yes,Month-to-month,DSL,Mailed check,Yes
7795-CFOCW,42.3,1840.75,45,No,One year,DSL,Bank transfer (automatic),No
9237-HQITU,70.7,151.65,2,Yes,Month-to-month,Fiber optic,Electronic check,Yes
9305-CDSKC,99.65,820.5,8,Yes,Month-to-month,Fiber optic,Electronic check,Yes
1452-KIOVK,89.1,1949.4,22,No,Month-to-month,Fiber optic,Credit card (automatic),Yes
6713-OKOMC,29.75,301.9,10,No,Month-to-month,DSL,Mailed check,No
7892-POOKP,104.8,3046.05,28,Yes,Month-to-month,Fiber optic,Electronic check,Yes
6388-TABGU,56.15,3487.95,62,No,One year,DSL,Bank transfer (automatic),No
9763-GRSKD,49.95,587.45,13,No,Month-to-month,DSL,Mailed check,Yes
7469-LKBCI,18.95,326.8,16,No,Two year,No,Credit card (automatic),No
8091-TTVAX,100.35,5681.1,58,No,One year,Fiber optic,Credit card (automatic),No
0280-XJGEX,103.7,5036.3,49,Yes,Month-to-month,Fiber optic,Bank transfer (automatic),Yes
5129-JLPIS,105.5,2686.05,25,No,Month-to-month,Fiber optic,Electronic check,Yes
3655-SNQYZ,113.25,7895.15,69,No,Two year,Fiber optic,Credit card (automatic),No
8191-XWSZG,20.65,1022.95,52,No,One year,No,Mailed check,No
9959-WOFKT,106.7,7382.25,71,No,Two year,Fiber optic,Bank transfer (automatic),No
4190-MFLUW,55.2,528.35,10,Yes,Month-to-month,DSL,Credit card (automatic),No
4183-MYFRB,90.05,1862.9,21,No,Month-to-month,Fiber optic,Electronic check,Yes
8779-QRDMV,39.65,39.65,1,Yes,Month-to-month,DSL,Electronic check,Yes
1680-VDCWW,19.8,202.25,12,No,One year,No,Bank transfer (automatic),No
1066-JKSGK,20.15,20.15,1,Yes,Month-to-month,No,Mailed check,No
3638-WEABW,59.9,3505.1,58,No,Two year,DSL,Credit card (automatic),Yes
6322-HRPFA,59.6,2970.3,49,No,Month-to-month,DSL,Credit card (automatic),No
6865-JZNKO,55.3,1530.6,30,No,Month-to-month,DSL,Bank transfer (automatic),Yes
6467-CHFZW,99.35,4749.15,47,Yes,Month-to-month,Fiber optic,Electronic check,Yes
8665-UTDHZ,30.2,30.2,1,Yes,Month-to-month,DSL,Electronic check,No
5248-YGIJN,90.25,6369.45,72,No,Two year,DSL,Credit card (automatic),Yes
8773-HHUOZ,64.7,1093.1,17,Yes,Month-to-month,DSL,Mailed check,Yes
3841-NFECX,96.35,6766.95,71,No,Two year,Fiber optic,Credit card (automatic),Yes
4929-XIHVW,95.5,181.65,2,No,Month-to-month,Fiber optic,Credit card (automatic),Yes
6827-IEAUQ,66.15,1874.45,27,No,One year,DSL,Mailed check,No
7310-EGVHZ,20.2,20.2,1,No,Month-to-month,No,Bank transfer (automatic),No
3413-BMNZE,45.25,45.25,1,No,Month-to-month,DSL,Bank transfer (automatic),No
6234-RAAPL,99.9,7251.7,72,No,Two year,Fiber optic,Bank transfer (automatic),No
6047-YHPVI,69.7,316.9,5,Yes,Month-to-month,Fiber optic,Electronic check,Yes
